timestamp_1hz,anger_idx,arousal,comtempt_idx,disgust_idx,fear_idx,happy_idx,neutral_idx,sad_idx,surprise_idx,timestamp,valence,emotion
96,0.04472005,-0.07441262,0.028443737,0.004324674,0.21530068,0.0059715896,0.23075724,0.3769078,0.09357425,96.47916666666667,-0.4072944,Sadness
97,0.037572958,0.20280296,0.003788721,0.0010087633,0.49667117,0.0013384885,0.13152103,0.11512667,0.21297221,97.47916666666667,-0.31121325,Fear
98,0.032423463,-0.08859021,0.009227597,0.0008806335,0.19128108,0.0041863737,0.32815143,0.25039437,0.18345499,98.47916666666667,-0.32028988,Neutral
99,0.033450063,-0.120621145,0.01444398,0.00060481584,0.12507594,0.0072070244,0.4100792,0.22671467,0.1824243,99.47916666666667,-0.27570224,Neutral
100,0.032156106,-0.098341905,0.02024192,0.000722622,0.13035522,0.012495848,0.44649267,0.17637007,0.18116556,100.47916666666667,-0.21300246,Neutral
101,0.024115233,-0.07327295,0.020473963,0.0005671613,0.17136645,0.0122199245,0.39435533,0.15534316,0.22155876,101.47916666666667,-0.1859165,Neutral
102,0.021214614,-0.0915505,0.03723434,0.00052993145,0.1025154,0.027830044,0.45056972,0.12932388,0.23078205,102.47916666666667,-0.09224451,Neutral
103,0.019877871,-0.16523762,0.060638655,0.00054784195,0.04419151,0.06827442,0.52911264,0.1408083,0.13654877,103.47916666666667,-0.014517943,Neutral
104,0.009345392,-0.09976398,0.18454118,0.00060674583,0.0067163445,0.4114147,0.27734074,0.045320738,0.06471414,104.47916666666667,0.42072213,Neutral
105,0.00045161168,0.14231046,0.0455292,0.000114536226,0.0001320934,0.94567627,0.003497922,0.00036890758,0.004229502,105.47916666666667,0.85368174,Happiness
106,1.628186e-06,0.24439456,2.4413903e-05,6.3416263e-07,8.5028546e-07,0.9998298,6.6047e-07,1.2753067e-07,0.00014184117,106.47916666666667,0.9536546,Happiness
107,6.677913e-07,0.24419326,2.196429e-05,8.856762e-07,9.915049e-07,0.99988437,2.5877435e-07,4.5314286e-07,9.0364214e-05,107.47916666666667,0.9522712,Happiness
108,2.0063473e-05,0.23601091,5.6097826e-05,1.5230511e-05,2.279246e-05,0.99908614,9.997441e-06,4.4266767e-06,0.0007852244,108.47916666666667,0.97755736,Happiness
109,2.441265e-06,0.2872162,3.2683693e-05,3.7720959e-06,6.679657e-06,0.9998212,5.767173e-07,2.2620532e-06,0.0001304389,109.47916666666667,1.004862,Happiness
110,9.404107e-06,0.31900188,3.7098158e-05,5.633167e-06,2.0198719e-05,0.99960035,1.6358916e-06,2.9444661e-06,0.00032275624,110.47916666666667,0.983628,Happiness
111,2.416307e-05,0.32755327,3.3507175e-05,1.119922e-05,0.00010747346,0.99911314,2.5680094e-06,9.423287e-06,0.00069851003,111.47916666666667,0.963043,Happiness
112,0.010923813,0.10925575,0.122500695,0.0058391974,0.010825959,0.7535403,0.006335549,0.084085755,0.0059487387,112.47916666666667,0.6957114,Happiness
113,0.021644553,-0.092422515,0.10743738,0.008622822,0.06540562,0.13268934,0.009580341,0.6452332,0.009386654,113.47916666666667,0.0047801198,Sadness
114,0.016891206,-0.13479286,0.052790266,0.008220394,0.051902186,0.072049655,0.005387351,0.78879374,0.003965192,114.47916666666667,-0.16878112,Sadness
115,0.0052850093,-0.26888868,0.010858152,0.0016840394,0.043983188,0.0085041905,0.003244954,0.9251566,0.0012838993,115.47916666666667,-0.5469598,Sadness
116,0.0030816656,-0.18926243,0.0084756045,0.0033639064,0.14340553,0.011189103,0.0026857096,0.825892,0.0019065322,116.47916666666667,-0.55398965,Sadness
117,0.0011305219,-0.30548495,0.0006120153,0.0010670129,0.07801976,0.0005726638,0.0009824729,0.917149,0.00046653507,117.47916666666667,-0.8177708,Sadness
118,0.0014963178,-0.33261043,0.0012225386,0.0008114341,0.076543756,0.0006772985,0.0018237649,0.9168947,0.0005301757,118.47916666666667,-0.8271888,Sadness
119,0.0027191683,-0.43715444,0.0023769075,0.0006982919,0.020759527,0.0010074883,0.0032373527,0.9685847,0.00061656017,119.47916666666667,-0.82618827,Sadness
120,0.011006143,-0.32411543,0.009996629,0.0013733659,0.033683386,0.018131161,0.11747757,0.7974603,0.01087144,120.47916666666667,-0.48070946,Sadness
121,0.02107966,-0.38549724,0.0025306914,0.0013035653,0.014483689,0.014842752,0.079777665,0.8583804,0.007601624,121.47916666666667,-0.68754345,Sadness
122,0.1434505,0.036895864,0.006114659,0.04222409,0.06532204,0.078537755,0.45743522,0.12471172,0.08220401,122.59567901234567,-0.13750917,Neutral
123,0.10615953,0.0353271,0.010857609,0.12703787,0.04054346,0.21863255,0.38396174,0.06908883,0.043718442,123.47916666666667,-0.029949926,Neutral
